"iWine","Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","WindowSource","LikeVotes","LikePercent","LikeIt","PNotes","PScore","CNotes","CScore","WA","WAWeb","IWC","IWCWeb","WS","WSWeb","WE","WEWeb","BR","BRWeb","GV","GVWeb","LF","LFWeb","LD","LDWeb","SJ","SJWeb","GA","GAWeb","WWR","WWRWeb","TT","TTWeb","FP","FPWeb"
"3654705","White","White","Dry","750ml","SEK","339","339","2","2","0","2019","Felton Road Chardonnay Bannockburn","New Zealand, South Island, Otago, Bannockburn","Felton Road","Chardonnay","Chardonnay","Unknown","Unknown","New Zealand","South Island","Otago","Bannockburn","9999","9999","Community Average","10","1","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2999098","White","White","Dry","750ml","SEK","315","315","2","2","0","2017","Felton Road Chardonnay Bannockburn","New Zealand, South Island, Otago, Bannockburn","Felton Road","Chardonnay","Chardonnay","Unknown","Unknown","New Zealand","South Island","Otago","Bannockburn","9999","9999","Community Average","9","1","","1","93","16","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4931391","White - Sparkling","White","Sparkling","750ml","SEK","0","0","1","1","0","1001","Ferdinand Bonnet Champagne Grande Réserve Brut","France, Champagne","Ferdinand Bonnet","Champagne Blend","Champagne Blend","Grande Réserve Brut","Unknown","France","Champagne","Unknown","Champagne","9999","9999","Community Average","2","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4050367","White","White","Dry","750ml","SEK","199","199","1","1","0","2016","Domaine Fernand Engel Riesling Silberberg de Rorschwihr Cuvée St. Michel","France, Alsace","Domaine Fernand Engel","Riesling","Riesling","Cuvée St. Michel","Silberberg de Rorschwihr","France","Alsace","Unknown","Alsace","9999","9999","Community Average","0","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5768205","Red","Red","Dry","750ml","SEK","189","189","1","1","0","2023","Finca Las Moras Gran Syrah","Argentina, San Juan","Finca Las Moras","Syrah","Syrah","Gran Syrah","Unknown","Argentina","San Juan","Unknown","Unknown","9999","9999","Community Average","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2842612","White","White","Dry","750ml","SEK","0","0","1","1","0","2016","First Drop Chardonnay Mère et Fils","Australia, South Australia, Mount Lofty Ranges, Adelaide Hills","First Drop","Chardonnay","Chardonnay","Mère et Fils","Unknown","Australia","South Australia","Mount Lofty Ranges","Adelaide Hills","9999","9999","Community Average","1","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4785929","Red","Red","Dry","750ml","SEK","320","320","1","1","0","2020","Bodega Flechas de Los Andes Gran Corte","Argentina, Mendoza, Valle de Uco, Vista Flores","Bodega Flechas de Los Andes","Malbec Blend","Malbec","Gran Corte","Unknown","Argentina","Mendoza","Valle de Uco","Vista Flores","9999","9999","Community Average","2","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3355986","Red","Red","Dry","750ml","SEK","189","189","1","1","0","2017","Bodega Flechas de Los Andes Malbec Gran Malbec","Argentina, Mendoza","Bodega Flechas de Los Andes","Malbec","Malbec","Gran Malbec","Unknown","Argentina","Mendoza","Unknown","Unknown","9999","9999","Community Average","16","1","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3871065","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2019","Jean Foillard Morgon Côte du Py","France, Burgundy, Beaujolais, Morgon","Jean Foillard","Gamay","Gamay","Unknown","Côte du Py","France","Burgundy","Beaujolais","Morgon","9999","9999","Community Average","131","0,961832061068702","","","","266","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5048717","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2019","Fontanafredda Barolo Riserva Serralunga d'Alba","Italy, Piedmont, Langhe, Barolo","Fontanafredda","Nebbiolo","Nebbiolo","Riserva","Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","9999","9999","Community Average","2","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5302140","White","White","Dry","750ml","SEK","400","400","1","1","0","2024","Ken Forrester Chenin Blanc The FMC","South Africa, Coastal Region, Stellenbosch","Ken Forrester","Chenin Blanc","Chenin Blanc","The FMC","Unknown","South Africa","Coastal Region","Stellenbosch","Stellenbosch","9999","9999","Community Average","4","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2765152","Red","Red","Dry","750ml","SEK","379","379","1","1","0","2016","Frank Cornelissen Munjebel","Italy, Sicily, Terre Siciliane","Frank Cornelissen","Nerello Mascalese","Nerello Mascalese","Munjebel","Unknown","Italy","Sicily","Unknown","Terre Siciliane","9999","9999","Community Average","15","0,933333333333333","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4384090","Red","Red","Dry","750ml","SEK","319","319","2","2","0","2020","Gabrielskloof Syrah On Shale","South Africa, Cape South Coast, Walker Bay, Bot River","Gabrielskloof","Syrah","Syrah","On Shale","Unknown","South Africa","Cape South Coast","Walker Bay","Bot River","9999","9999","Community Average","1","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4978548","Red","Red","Dry","750ml","SEK","259","259","1","1","0","2023","Gabrielskloof Syrah Whole bunch","South Africa, Cape South Coast, Walker Bay, Bot River","Gabrielskloof","Syrah","Syrah","Whole bunch","Unknown","South Africa","Cape South Coast","Walker Bay","Bot River","9999","9999","Community Average","13","1","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4699058","Red","Red","Dry","750ml","SEK","199","199","1","1","0","2022","Gabrielskloof Syrah Whole bunch","South Africa, Cape South Coast, Walker Bay, Bot River","Gabrielskloof","Syrah","Syrah","Whole bunch","Unknown","South Africa","Cape South Coast","Walker Bay","Bot River","9999","9999","Community Average","8","0,875","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5180462","Red","Red","Dry","750ml","SEK","249","249","2","2","0","2021","Garage Wine Co. Cabernet Franc Lot #122 Las Higueras Vineyard","Chile, Maule Valley","Garage Wine Co.","Cabernet Franc","Cabernet Franc","Lot #122","Las Higueras Vineyard","Chile","Maule Valley","Unknown","Unknown","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3517527","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2018","Giacosa Fratelli Langhe Nebbiolo Leunin","Italy, Piedmont, Langhe, Langhe DOC","Giacosa Fratelli","Nebbiolo","Nebbiolo","Leunin","Unknown","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","Community Average","5","1","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4011749","Red","Red","Dry","750ml","SEK","249","249","1","1","0","2019","Bruno Giacosa Nebbiolo d'Alba","Italy, Piedmont, Alba, Nebbiolo d'Alba","Bruno Giacosa","Nebbiolo","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Alba","Nebbiolo d'Alba","9999","9999","Community Average","19","0,894736842105263","","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3866215","Red","Red","Dry","750ml","SEK","179","179","1","1","0","2019","Gilles Robin Crozes-Hermitage Papillon","France, Rhône, Northern Rhône, Crozes-Hermitage","Gilles Robin","Syrah","Syrah","Papillon","Unknown","France","Rhône","Northern Rhône","Crozes-Hermitage","9999","9999","Community Average","6","1","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"380552","Red","Red","Dry","750ml","SEK","200","200","1","1","0","2006","Gilles Robin Crozes-Hermitage Papillon","France, Rhône, Northern Rhône, Crozes-Hermitage","Gilles Robin","Syrah","Syrah","Papillon","Unknown","France","Rhône","Northern Rhône","Crozes-Hermitage","9999","9999","Community Average","4","1","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"464705","Red - Fortified","Red","Fortified","750ml","SEK","0","0","1","1","0","2005","Graham Porto Vintage Quinta dos Malvedos","Portugal, Douro, Porto","Graham","Port Blend","Port Blend","Vintage","Quinta dos Malvedos","Portugal","Douro","Unknown","Porto","9999","9999","Community Average","5","0,8","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5154980","Red","Red","Dry","750ml","SEK","369","369","1","1","0","2022","Alain Graillot Crozes-Hermitage","France, Rhône, Northern Rhône, Crozes-Hermitage","Alain Graillot","Syrah","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Crozes-Hermitage","9999","9999","Community Average","29","0,96551724137931","","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3483315","Red","Red","Dry","750ml","SEK","279","279","2","2","0","2018","Alain Graillot Crozes-Hermitage","France, Rhône, Northern Rhône, Crozes-Hermitage","Alain Graillot","Syrah","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Crozes-Hermitage","9999","9999","Community Average","63","0,952380952380952","","","","130","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3173385","Red","Red","Dry","750ml","SEK","259","259","2","2","0","2017","Alain Graillot Crozes-Hermitage","France, Rhône, Northern Rhône, Crozes-Hermitage","Alain Graillot","Syrah","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Crozes-Hermitage","9999","9999","Community Average","55","0,981818181818182","","","","122","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3773693","Red","Red","Dry","750ml","SEK","232","232","1","1","0","2019","Grattamacco Bolgheri Rosso","Italy, Tuscany, Bolgheri","Grattamacco","SuperTuscan Blend","SuperTuscan Blend","Rosso","Unknown","Italy","Tuscany","Bolgheri","Bolgheri","9999","9999","Community Average","18","1","","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2422122","White - Sweet/Dessert","White","Sweet/Dessert","750ml","SEK","0","0","1","1","0","2015","Château Grillon","France, Bordeaux, Sauternais, Sauternes","Château Grillon","Sémillon-Sauvignon Blanc Blend","Sémillon-Sauvignon Blanc Blend","Unknown","Unknown","France","Bordeaux","Sauternais","Sauternes","9999","9999","Community Average","10","1","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5011879","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2020","Giacomo Grimaldi Barolo Ravera","Italy, Piedmont, Langhe, Barolo","Giacomo Grimaldi","Nebbiolo","Nebbiolo","Unknown","Ravera","Italy","Piedmont","Langhe","Barolo","9999","9999","Community Average","1","1","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3773869","Red","Red","Dry","750ml","SEK","249","249","1","1","0","2019","Tenuta Guado al Tasso (Antinori) Bolgheri Il Bruciato","Italy, Tuscany, Bolgheri","Tenuta Guado al Tasso (Antinori)","Red Blend","Red Blend","Il Bruciato","Unknown","Italy","Tuscany","Bolgheri","Bolgheri","9999","9999","Community Average","36","1","","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3484957","Red","Red","Dry","750ml","SEK","199","199","1","1","0","2018","Tenuta Guado al Tasso (Antinori) Bolgheri Il Bruciato","Italy, Tuscany, Bolgheri","Tenuta Guado al Tasso (Antinori)","Red Blend","Red Blend","Il Bruciato","Unknown","Italy","Tuscany","Bolgheri","Bolgheri","9999","9999","Community Average","48","0,979166666666667","","","","97","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3074160","Red","Red","Dry","750ml","SEK","189","189","1","1","0","2016","E. Guigal Crozes-Hermitage","France, Rhône, Northern Rhône, Crozes-Hermitage","E. Guigal","Syrah","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Crozes-Hermitage","9999","9999","Community Average","28","0,964285714285714","","","","56","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3228005","White","White","Dry","750ml","SEK","219","219","1","1","0","2017","E. Guigal Crozes-Hermitage Blanc","France, Rhône, Northern Rhône, Crozes-Hermitage","E. Guigal","White Rhone Blend","White Rhone Blend","Blanc","Unknown","France","Rhône","Northern Rhône","Crozes-Hermitage","9999","9999","Community Average","5","1","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5546075","Red","Red","Dry","750ml","SEK","320","320","4","4","0","2023","Guimaro Ribeira Sacra Finca Meixeman","Spain, Galicia, Ribeira Sacra","Guimaro","Mencía","Mencía","Finca Meixeman","Unknown","Spain","Galicia","Unknown","Ribeira Sacra","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5362922","Red","Red","Dry","750ml","SEK","280","280","3","3","0","2021","Guimaro Ribeira Sacra San Pedro","Spain, Galicia, Ribeira Sacra","Guimaro","Mencía","Mencía","San Pedro","Unknown","Spain","Galicia","Unknown","Ribeira Sacra","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3675869","White - Off-dry","White","Dry","750ml","SEK","365","365","2","2","0","2019","Fritz Haag Brauneberger Juffer-Sonnenuhr Riesling Auslese","Germany, Mosel Saar Ruwer","Fritz Haag","Riesling","Riesling","Auslese","Brauneberger Juffer-Sonnenuhr","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","Community Average","16","1","","","","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3902211","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2015","Innocent Bystander Pinot Noir Yarra Valley","Australia, Victoria, Port Phillip, Yarra Valley","Innocent Bystander","Pinot Noir","Pinot Noir","Unknown","Unknown","Australia","Victoria","Port Phillip","Yarra Valley","9999","9999","Community Average","10","0,9","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5164654","Red","Red","Dry","750ml","SEK","299","299","1","1","0","2022","Isole e Olena Chianti Classico","Italy, Tuscany, Chianti, Chianti Classico DOCG","Isole e Olena","Sangiovese Blend","Sangiovese","Unknown","Unknown","Italy","Tuscany","Chianti","Chianti Classico DOCG","9999","9999","Community Average","17","1","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4393025","White","White","Dry","750ml","SEK","299","299","1","1","0","2022","Jim Barry Riesling Lodge Hill","Australia, South Australia, Mount Lofty Ranges, Clare Valley","Jim Barry","Riesling","Riesling","Lodge Hill","Unknown","Australia","South Australia","Mount Lofty Ranges","Clare Valley","9999","9999","Community Average","12","0,916666666666667","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5551084","Rosé - Sparkling","Rosé","Sparkling","750ml","SEK","0","0","1","1","0","1001","Josep Ventosa Cava Brut Rosé","Spain, Cava","Josep Ventosa","Pinot Noir","Pinot Noir","Brut Rosé","Unknown","Spain","Spain","Unknown","Cava","9999","9999","none","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4784043","Red","Red","Dry","750ml","SEK","299","299","1","1","0","2018","Keermont Syrah","South Africa, Coastal Region, Stellenbosch","Keermont","Syrah","Syrah","Unknown","Unknown","South Africa","Coastal Region","Stellenbosch","Stellenbosch","9999","9999","Community Average","4","1","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2474055","White - Sweet/Dessert","White","Sweet/Dessert","187ml","SEK","149","149","2","2","0","1001","Alois Kracher Trockenbeerenauslese Noble Reserve","Austria, Burgenland, Neusiedlersee","Alois Kracher","White Blend","White Blend","Trockenbeerenauslese Noble Reserve","Unknown","Austria","Burgenland","Neusiedlersee","Unknown","9999","9999","Community Average","30","1","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4158425","White","White","Dry","750ml","SEK","299","299","1","1","0","2020","Kruger-Rumpf Riesling Abtei 1937 Riesling Trocken","Germany, Nahe","Kruger-Rumpf","Riesling","Riesling","Abtei 1937 Riesling Trocken","Unknown","Germany","Nahe","Unknown","Unknown","9999","9999","Community Average","7","1","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4232687","White","White","Dry","750ml","SEK","220","220","1","1","0","2020","Kruger-Rumpf Riesling Zweistrom","Germany, Nahe","Kruger-Rumpf","Riesling","Riesling","Zweistrom","Unknown","Germany","Nahe","Unknown","Unknown","9999","9999","Community Average","4","1","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3392692","White","White","Dry","750ml","SEK","219","219","2","2","0","2018","Kumeu River Chardonnay Estate","New Zealand, North Island, Auckland, Kumeu","Kumeu River","Chardonnay","Chardonnay","Estate","Unknown","New Zealand","North Island","Auckland","Kumeu","9999","9999","Community Average","24","0,958333333333333","","","","52","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4099602","White","White","Dry","750ml","SEK","299","299","1","1","0","2019","Kutch Chardonnay Sonoma County","USA, California, Sonoma County","Kutch","Chardonnay","Chardonnay","Unknown","Unknown","USA","California","Sonoma County","Sonoma County","9999","9999","Community Average","2","1","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2567221","White - Sparkling","White","Sparkling","750ml","SEK","0","0","1","1","0","1001","Domaine Langlois-Château Crémant de Loire Brut Réserve","France, Loire Valley, Crémant de Loire","Domaine Langlois-Château","White Blend","White Blend","Brut Réserve","Unknown","France","Loire Valley","Unknown","Crémant de Loire","9999","9999","Community Average","43","0,930232558139535","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4364305","White","White","Dry","750ml","SEK","0","0","1","1","0","2021","Domaine Laroche Bourgogne Blanc Barrique Réserve","France, Burgundy, Bourgogne Blanc","Domaine Laroche","Chardonnay","Chardonnay","Barrique Réserve","Unknown","France","Burgundy","Unknown","Bourgogne Blanc","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4147822","White","White","Dry","750ml","SEK","329","329","1","1","0","2018","Weingut Josef Leitz Rüdesheimer Berg Kaisersteinfels Riesling Terrassen","Germany, Rheingau","Weingut Josef Leitz","Riesling","Riesling","Terrassen","Rüdesheimer Berg Kaisersteinfels","Germany","Rheingau","Unknown","Unknown","9999","9999","Community Average","2","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2297066","White - Sweet/Dessert","White","Sweet/Dessert","750ml","SEK","0","0","1","1","0","2012","Château du Levant","France, Bordeaux, Sauternais, Sauternes","Château du Levant","Sémillon-Sauvignon Blanc Blend","Sémillon-Sauvignon Blanc Blend","Unknown","Unknown","France","Bordeaux","Sauternais","Sauternes","9999","9999","Community Average","1","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3795520","White","White","Dry","750ml","SEK","339","339","2","2","0","2019","Dr. Loosen Erdener Treppchen Riesling Großes Gewächs Alte Reben","Germany, Mosel Saar Ruwer","Dr. Loosen","Riesling","Riesling","Großes Gewächs Alte Reben","Erdener Treppchen","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","Community Average","13","1","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4189587","White","White","Dry","750ml","SEK","329","329","1","1","0","2020","Dr. Loosen Wehlener Sonnenuhr Riesling Alte Reben","Germany, Mosel Saar Ruwer","Dr. Loosen","Riesling","Riesling","Alte Reben","Wehlener Sonnenuhr","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","Community Average","6","1","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3651262","White","White","Dry","750ml","SEK","319","319","1","1","0","2019","Dr. Loosen Wehlener Sonnenuhr Riesling Alte Reben","Germany, Mosel Saar Ruwer","Dr. Loosen","Riesling","Riesling","Alte Reben","Wehlener Sonnenuhr","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","Community Average","9","0,888888888888889","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5653234","White","White","Dry","750ml","SEK","199","199","1","1","0","2025","Luna Beberide Godello Bierzo","Spain, Castilla y León, Bierzo","Luna Beberide","Godello","Godello","Unknown","Unknown","Spain","Castilla y León","Unknown","Bierzo","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4178808","Rosé","Rosé","Dry","750ml","SEK","109","109","2","2","0","1001","La Maison Grande Cuvée Rosé","France, Vin de France","La Maison","Rosé Blend","Rosé Blend","Grande Cuvée Rosé","Unknown","France","France","Unknown","Vin de France","9999","9999","none","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1837032","Red","Red","Dry","750ml","SEK","299","299","1","1","0","2011","Massolino Barolo","Italy, Piedmont, Langhe, Barolo","Massolino","Nebbiolo","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Barolo","9999","9999","Community Average","40","1","","","","116","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5558802","Red","Red","Dry","750ml","SEK","429","429","2","2","0","2020","Mastroberardino Taurasi Radici","Italy, Campania, Taurasi DOCG","Mastroberardino","Aglianico","Aglianico","Radici","Unknown","Italy","Campania","Unknown","Taurasi DOCG","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4013517","White","White","Dry","750ml","SEK","249","249","1","1","0","2020","Matías Riccitelli Blanco de la Casa","Argentina, Mendoza, Lujan de Cuyo","Matías Riccitelli","Sémillon-Sauvignon Blanc Blend","Sémillon-Sauvignon Blanc Blend","Blanco de la Casa","Unknown","Argentina","Mendoza","Lujan de Cuyo","Unknown","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5122806","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2020","MGM Mondo del Vino Barolo Enzo Bartoli","Italy, Piedmont, Langhe, Barolo","MGM Mondo del Vino","Nebbiolo","Nebbiolo","Enzo Bartoli","Unknown","Italy","Piedmont","Langhe","Barolo","9999","9999","Community Average","10","0,9","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4083484","White","White","Dry","750ml","SEK","159","159","1","1","0","2020","Château Mont-Redon Côtes du Rhône Blanc","France, Rhône, Southern Rhône, Côtes du Rhône","Château Mont-Redon","White Rhone Blend","White Rhone Blend","Blanc","Unknown","France","Rhône","Southern Rhône","Côtes du Rhône","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4467104","Red","Red","Dry","750ml","SEK","325","325","1","1","0","2021","Château Montus Madiran","France, Southwest France, Madiran","Château Montus","Tannat Blend","Tannat","Unknown","Unknown","France","Southwest France","Unknown","Madiran","9999","9999","Community Average","2","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4758684","White","White","Dry","750ml","SEK","499","499","1","1","0","2021","Mount Eden Vineyards Chardonnay Domaine Eden","USA, California, Santa Cruz Mountains","Mount Eden Vineyards","Chardonnay","Chardonnay","Domaine Eden","Unknown","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","9999","9999","Community Average","9","1","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3523917","Non-alcoholic","Other","Other","750ml","SEK","0","0","1","1","0","1001","MRG Wines Richard Juhlin Oddbird Blanc de Blancs","France","MRG Wines","Chardonnay","Chardonnay","Richard Juhlin Oddbird Blanc de Blancs","Unknown","France","France","Unknown","Unknown","9999","9999","Community Average","2","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5508358","Red","Red","Dry","750ml","SEK","249","249","1","1","0","2021","Bodegas Muga Rioja Selección Especial","Spain, La Rioja, La Rioja Alta, Rioja","Bodegas Muga","Tempranillo Blend","Tempranillo","Selección Especial","Unknown","Spain","La Rioja","La Rioja Alta","Rioja","9999","9999","Community Average","9","0,888888888888889","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4773809","White","White","Dry","750ml","SEK","349","349","2","2","0","2022","Newton Johnson Chardonnay Family Vineyards","South Africa, Cape South Coast, Walker Bay, Upper Hemel-en-Aarde Valley","Newton Johnson","Chardonnay","Chardonnay","Unknown","Family Vineyards","South Africa","Cape South Coast","Walker Bay","Upper Hemel-en-Aarde Valley","9999","9999","Community Average","14","1","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5189591","White","White","Dry","750ml","SEK","219","219","1","1","0","2023","Newton Johnson Chardonnay Southend","South Africa, Cape South Coast, Walker Bay, Upper Hemel-en-Aarde Valley","Newton Johnson","Chardonnay","Chardonnay","Southend","Unknown","South Africa","Cape South Coast","Walker Bay","Upper Hemel-en-Aarde Valley","9999","9999","Community Average","8","1","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3413898","White - Sparkling","White","Sparkling","750ml","SEK","0","0","1","1","0","1001","Pierre Olivier Vin de France Blanc de Blancs Prestige","France, Vin de France","Pierre Olivier","Champagne Blend","Champagne Blend","Blanc de Blancs Prestige","Unknown","France","France","Unknown","Vin de France","9999","9999","Community Average","3","0,333333333333333","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2464496","Red","Red","Dry","750ml","SEK","470","470","1","1","0","2014","Tenuta dell'Ornellaia Le Serre Nuove","Italy, Tuscany, Bolgheri","Tenuta dell'Ornellaia","Red Bordeaux Blend","Red Bordeaux Blend","Le Serre Nuove","Unknown","Italy","Tuscany","Bolgheri","Bolgheri","9999","9999","Community Average","42","1","","","","87","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1991361","Red","Red","Dry","750ml","SEK","60","60","3","3","0","2013","Ortas / Cave de Rasteau Rasteau La Domelière","France, Rhône, Southern Rhône, Rasteau","Ortas / Cave de Rasteau","Red Rhone Blend","Red Rhone Blend","La Domelière","Unknown","France","Rhône","Southern Rhône","Rasteau","9999","9999","Community Average","2","0,5","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4546152","White","White","Dry","750ml","SEK","249","249","3","3","0","2021","Verónica Ortega Bierzo Anfora & Barrica","Spain, Castilla y León, Bierzo","Verónica Ortega","Godello","Godello","Anfora & Barrica","Unknown","Spain","Castilla y León","Unknown","Bierzo","9999","9999","Community Average","3","0,666666666666667","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3376021","Red","Red","Dry","750ml","SEK","200","200","3","3","0","2017","Verónica Ortega Bierzo Cobrana","Spain, Castilla y León, Bierzo","Verónica Ortega","Mencía","Mencía","Cobrana","Unknown","Spain","Castilla y León","Unknown","Bierzo","9999","9999","Community Average","3","1","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4012283","White","White","Dry","750ml","SEK","231,9179","231,9179","1","1","0","2019","Verónica Ortega Bierzo VO CAL Vino de Paraje el Garbanzal","Spain, Castilla y León, Bierzo","Verónica Ortega","Godello","Godello","VO CAL Vino de Paraje el Garbanzal","Unknown","Spain","Castilla y León","Unknown","Bierzo","9999","9999","Community Average","1","1","","1","92","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3664998","Red","Red","Dry","750ml","SEK","162,7885","162,7885","1","1","0","2019","Alvaro Palacios Priorat Camins del Priorat","Spain, Catalunya, Priorat","Alvaro Palacios","Grenache Blend","Grenache","Camins del Priorat","Unknown","Spain","Catalunya","Unknown","Priorat","9999","9999","Community Average","45","0,955555555555556","","","","92","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4324732","Red","Red","Dry","750ml","SEK","225","225","1","1","0","2018","Paracombe Shiraz","Australia, South Australia, Mount Lofty Ranges, Adelaide Hills","Paracombe","Shiraz","Syrah","Unknown","Unknown","Australia","South Australia","Mount Lofty Ranges","Adelaide Hills","9999","9999","Community Average","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3601641","Red","Red","Dry","750ml","SEK","369","369","1","1","0","2018","Domaine du Pélican Poulsard Arbois","France, Jura, Arbois","Domaine du Pélican","Poulsard","Poulsard","Unknown","Unknown","France","Jura","Unknown","Arbois","9999","9999","Community Average","6","1","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","",""
